Date,Category,Sales_Amount
2024-02-13,Office Supplies,1894.53
2024-02-14,Office Supplies,1671.64
2024-02-17,Office Supplies,2150.08
2024-02-21,Office Supplies,2006.98
2024-02-22,Vegetables,540.13
2024-02-23,Office Supplies,1852.48
2024-02-24,Office Supplies,1717.01
2024-02-26,Fruits,1162.79
2024-02-28,Office Supplies,1596.32
2024-03-02,Cosmetics,911.67
2024-03-08,Office Supplies,1839.85
2024-03-11,Household,1042.69
2024-03-13,Office Supplies,1772.84
2024-03-14,Baby Food,730.06
2024-03-16,Office Supplies,2003.0
2024-03-22,Office Supplies,1869.84
2024-03-23,Vegetables,1302.53
2024-03-28,Fruits,1234.16
2024-03-29,Office Supplies,1491.84
2024-03-30,Vegetables,856.06
2024-04-02,Office Supplies,1335.36
2024-04-03,Fruits,1383.0
2024-04-08,Household,1336.47
2024-04-11,Office Supplies,1978.5
2024-04-14,Office Supplies,1705.83
2024-04-15,Household,1174.77
2024-04-18,Office Supplies,1965.95
2024-04-19,Vegetables,1608.52
2024-04-20,Cosmetics,758.19
2024-04-21,Baby Food,997.54
2024-04-22,Office Supplies,1245.25
2024-04-27,Office Supplies,2224.6
2024-04-28,Cosmetics,1197.77
2024-05-01,Office Supplies,1545.45
2024-05-03,Baby Food,951.35
2024-05-04,Fruits,1199.3
2024-05-09,Baby Food,497.11
2024-05-10,Vegetables,936.47
2024-05-12,Office Supplies,1916.59
2024-05-16,Vegetables,832.85
2024-05-17,Office Supplies,1790.29
2024-05-22,Baby Food,968.05
2024-05-23,Vegetables,828.43
2024-05-24,Office Supplies,1985.68
2024-05-26,Baby Food,1069.12
2024-05-28,Office Supplies,1706.39
2024-05-30,Household,673.25
2024-05-31,Household,1164.46
2024-06-04,Fruits,1236.05
2024-06-06,Office Supplies,1493.13
2024-06-15,Vegetables,1145.25
2024-06-20,Office Supplies,1719.94
2024-06-26,Cosmetics,1398.67
2024-07-02,Office Supplies,1223.08
2024-07-03,Office Supplies,2212.38
2024-07-04,Fruits,1387.1
2024-07-07,Cosmetics,900.71
2024-07-11,Household,541.08
2024-07-20,Office Supplies,2245.1
2024-07-21,Office Supplies,1724.36
2024-07-24,Cosmetics,844.68
2024-07-25,Fruits,734.63
2024-07-26,Baby Food,808.97
2024-07-28,Office Supplies,1870.05
2024-07-30,Fruits,872.48
2024-08-01,Vegetables,1186.72
2024-08-02,Office Supplies,2153.47
2024-08-03,Fruits,923.86
2024-08-04,Office Supplies,1958.77
2024-08-06,Fruits,806.71
2024-08-12,Baby Food,565.88
2024-08-13,Office Supplies,1367.44
2024-08-14,Fruits,1088.99
2024-08-16,Office Supplies,1516.78
2024-08-17,Office Supplies,1942.59
2024-08-25,Office Supplies,2098.32
2024-08-26,Fruits,1618.43
2024-08-29,Office Supplies,2282.33
2024-08-31,Vegetables,1117.04
2024-09-01,Office Supplies,1975.03
2024-09-02,Household,796.75
2024-09-06,Household,898.85
2024-09-11,Baby Food,776.27
2024-09-14,Household,933.65
2024-09-17,Fruits,862.98
2024-09-18,Vegetables,571.18
2024-09-19,Household,766.07
2024-09-21,Household,1232.61
2024-09-22,Office Supplies,1963.97
2024-09-26,Cosmetics,748.77
2024-09-27,Cosmetics,456.72
2024-09-28,Baby Food,993.56
2024-09-29,Office Supplies,1228.9
2024-10-03,Vegetables,778.21
2024-10-04,Office Supplies,1500.06
2024-10-08,Household,1766.18
2024-10-10,Vegetables,845.29
2024-10-11,Office Supplies,1307.47
2024-10-16,Office Supplies,1966.22
2024-10-17,Cosmetics,1010.93
2024-10-18,Household,1218.91
2024-10-23,Cosmetics,1235.01
2024-10-24,Office Supplies,1781.16
2024-10-25,Office Supplies,1440.11
2024-10-27,Cosmetics,1281.55
2024-10-30,Household,692.01
2024-10-31,Vegetables,693.48
2024-11-05,Office Supplies,1968.11
2024-11-06,Office Supplies,2199.25
2024-11-07,Vegetables,1136.49
2024-11-09,Fruits,871.36
2024-11-10,Office Supplies,1335.1
2024-11-20,Household,386.68
2024-11-21,Cosmetics,874.74
2024-11-24,Office Supplies,1994.02
2024-11-29,Household,755.41
2024-11-30,Vegetables,678.56
2024-12-01,Office Supplies,2005.79
2024-12-02,Baby Food,1692.4
2024-12-04,Baby Food,1363.9
2024-12-05,Household,1055.12
2024-12-06,Cosmetics,543.88
2024-12-07,Office Supplies,1529.63
2024-12-08,Office Supplies,1844.68
2024-12-09,Vegetables,632.73
2024-12-13,Baby Food,975.09
2024-12-15,Baby Food,1303.34
2024-12-16,Fruits,898.98
2024-12-17,Office Supplies,1790.57
2024-12-19,Baby Food,1133.96
2024-12-24,Baby Food,1226.76
2024-12-27,Vegetables,596.84
2024-12-30,Household,1170.35
2024-12-31,Office Supplies,1471.39
